,"Bruhat Bengaluru Mahanagara Palike
Works Bill Public View
",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sl No,Job Number,Start Date,End Date,Name of Work,Ward,Office,Budget Head,Contractor,Mobile,Email,Bill Type,Order Number,Order Date,SBR Number,SBR Date,BR Number,BR Date,CBR Number,CBR Date,Payment,Gross,Gross In words,Deduction,Deduction in words,Nett,Nett in words
1,1,058-20-000037,22-Feb-2022,21-May-2022,Improvements of drains and Asphalting to G M Pallya Main Road in Ward No. 58 ,058 New Tippasandara,Executive Engineer C V Raman Nagar East Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,023327 SRINIVASAKN,9448086373,,First and Final,000045,22-Feb-2022,000008,04-Jun-2022,000013,04-Jun-2022,,           ,Under Process in AdCf - Acts. Supdt.,5571905,Fifty Five Lakh Seventy One Thousand Nine Hundred Five,336743,Three Lakh Thirty Six Thousand Seven Hundred Fourty Three,5235162,Fifty Two Lakh Thirty Five Thousand One Hundred Sixty Two
2,2,058-20-000038,22-Feb-2022,21-May-2022,Improvements of drains and Asphalting to Byrasandra Main Road in Ward No. 58 ,058 New Tippasandara,Executive Engineer C V Raman Nagar East Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,023327 SRINIVASAKN,9448086373,,First and Final,000044,22-Feb-2022,000009,04-Jun-2022,000014,04-Jun-2022,,           ,Under Process in AdCf - Acts. Supdt.,4890224,Fourty Eight Lakh Ninety  Thousand Two Hundred Twenty Four,312839,Three Lakh Twelve Thousand Eight Hundred Thirty Nine,4577385,Fourty Five Lakh Seventy Seven Thousand Three Hundred Eighty Five
3,3,058-20-000007,01-Nov-2021,31-Dec-2021,Operation and Maintenance of street lights at area ward no 58 package E29,058 New Tippasandara,Executive Engineer Electrical East Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),NEWTECHENGINEERS,9880801223,,Running,000080,31-Dec-2020,000022,08-Jun-2022,000022,08-Jun-2022,,           ,Under Process in EE (Acts. Supdt.),288922,Two Lakh Eighty Eight Thousand Nine Hundred Twenty Two,21758,Twenty One Thousand Seven Hundred Fifty Eight,267164,Two Lakh Sixty Seven Thousand One Hundred Sixty Four
4,4,058-20-000007,01-Jan-2022,28-Feb-2022,Operation and Maintenance of street lights at area ward no 58 package E29,058 New Tippasandara,Executive Engineer Electrical East Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),NEWTECHENGINEERS,9880801223,,Running,000080,31-Dec-2020,000023,08-Jun-2022,000023,08-Jun-2022,,           ,Under Process in EE (Acts. Supdt.),288922,Two Lakh Eighty Eight Thousand Nine Hundred Twenty Two,21778,Twenty One Thousand Seven Hundred Seventy Eight,267144,Two Lakh Sixty Seven Thousand One Hundred Fourty Four
5,5,058-20-000007,01-Sep-2021,31-Oct-2021,Operation and Maintenance of street lights at area ward no 58 package E29,058 New Tippasandara,Executive Engineer Electrical East Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),NEWTECHENGINEERS,9880801223,,Running,000080,31-Dec-2020,000161,26-Nov-2021,000155,26-Nov-2021,,           ,000319 / 27-Jan-2022 in RTGS,525262,Five Lakh Twenty Five Thousand Two Hundred Sixty Two,33318,Thirty Three Thousand Three Hundred Eighteen,491944,Four Lakh Ninety One Thousand Nine Hundred Fourty Four
6,6,058-20-000007,01-Jan-2021,01-Sep-2021,Operation and Maintenance of street lights at area ward no 58 package E29,058 New Tippasandara,Executive Engineer Electrical East Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),NEWTECHENGINEERS,9880801223,,Running,000080,31-Dec-2020,000137,09-Sep-2021,000134,13-Sep-2021,,           ,000248 / 18-Oct-2021 in RTGS,354553,Three Lakh Fifty Four Thousand Five Hundred Fifty Three,25405,Twenty Five Thousand Four Hundred Five,329148,Three Lakh Twenty Nine Thousand One Hundred Fourty Eight
7,7,058-20-000007,01-Jun-2021,31-Jul-2021,Operation and Maintenance of street lights at area ward no 58 package E29,058 New Tippasandara,Executive Engineer Electrical East Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),NEWTECHENGINEERS,9880801223,,Running,000080,31-Dec-2020,000106,12-Aug-2021,000101,12-Aug-2021,,           ,000246 / 13-Oct-2021 in RTGS,288922,Two Lakh Eighty Eight Thousand Nine Hundred Twenty Two,22949,Twenty Two Thousand Nine Hundred Fourty Nine,265973,Two Lakh Sixty Five Thousand Nine Hundred Seventy Three
8,8,058-20-000007,01-Jan-2021,01-Jun-2021,Operation and Maintenance of street lights at area ward no 58 package E29,058 New Tippasandara,Executive Engineer Electrical East Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),NEWTECHENGINEERS,9880801223,,Running,000080,31-Dec-2020,000090,28-Jul-2021,000085,28-Jul-2021,,           ,000246 / 13-Oct-2021 in RTGS,433383,Four Lakh Thirty Three Thousand Three Hundred Eighty Three,35898,Thirty Five Thousand Eight Hundred Ninety Eight,397485,Three Lakh Ninety Seven Thousand Four Hundred Eighty Five
9,9,058-20-000007,01-Jan-2021,01-Mar-2021,Operation and Maintenance of street lights at area ward no 58 package E29,058 New Tippasandara,Executive Engineer Electrical East Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),NEWTECHENGINEERS,9880801223,,Running,000080,31-Dec-2020,000021,21-May-2021,000016,21-May-2021,,           ,000082 / 18-Jun-2021 in RTGS,288922,Two Lakh Eighty Eight Thousand Nine Hundred Twenty Two,24758,Twenty Four Thousand Seven Hundred Fifty Eight,264164,Two Lakh Sixty Four Thousand One Hundred Sixty Four
10,10,058-20-000004,11-Dec-2020,14-Dec-2020,MAINTENANCE AND DRILLING OF BOREWELLS IN WARD NO 58 NEW THIPPASANDRA,058 New Tippasandara,Executive Engineer C V Raman Nagar East Zone,P1802 Water Supply New Areas,M/s. Shree Priya Enterprises(Prop.Hemanth Kumar S),9742899929,,Final,000066,11-Dec-2020,000058,09-Mar-2021,000113,09-Mar-2021,,           ,Under Process in AdCf - Acts. Supdt.,2016987,Twenty  Lakh Sixteen Thousand Nine Hundred Eighty Seven,112168,One Lakh Twelve Thousand One Hundred Sixty Eight,1904819,Nineteen Lakh Four Thousand Eight Hundred Nineteen
11,11,058-19-000034,29-Jul-2020,01-Sep-2020,Providing Arch gate at new thippasandra entrance 80ft road in ward no 58,058 New Tippasandara,Executive Engineer C V Raman Nagar East Zone,P1771 Zone Works - POW Works,DEEPAK KUMAR S      ,9986649990,,Final,000030,29-Jul-2020,000045,22-Oct-2020,000078,22-Oct-2020,,           ,Under Process in AdCf - Acts. Supdt.,2921502,Twenty Nine Lakh Twenty One Thousand Five Hundred Two,154215,One Lakh Fifty Four Thousand Two Hundred Fifteen,2767287,Twenty Seven Lakh Sixty Seven Thousand Two Hundred Eighty Seven
12,12,058-20-000009,20-Mar-2020,31-Jul-2020,Resurfacing of roads and improvement of foot path at Cauvery layout and surrounding area in ward no. 58,058 New Tippasandara,Executive Engineer C V Raman Nagar East Zone,P2902 Strenthening and widening of Arterial and Sub-arterial roads in Road Infrastructure Division in all the 8 zones of BBMP (Est Cost: Rs 300 Cr),KRIDL BHUSIRI  ACCOU,0000000000,,Final,000197,20-Mar-2020,000009,17-Jun-2021,000013,17-Jun-2021,,           ,Under Process in EE (Acts. Supdt.),9999105,Ninety Nine Lakh Ninety Nine Thousand One Hundred Five,987688,Nine Lakh Eighty Seven Thousand Six Hundred Eighty Eight,9011417,Ninety  Lakh Eleven Thousand Four Hundred Seventeen
13,13,058-20-000010,20-Mar-2020,23-Jul-2020,Resurfacing of roads and improvement of foot path at G.M. Palya in main road to BEML Hospital road  in ward no. 58..,058 New Tippasandara,Executive Engineer C V Raman Nagar East Zone,P2902 Strenthening and widening of Arterial and Sub-arterial roads in Road Infrastructure Division in all the 8 zones of BBMP (Est Cost: Rs 300 Cr),KRIDL BHUSIRI  ACCOU,0000000000,,Final,000195,20-Mar-2020,000050,11-Nov-2020,000087,13-Nov-2020,,           ,Under Process in EE (Acts. Supdt.),9857301,Ninety Eight Lakh Fifty Seven Thousand Three Hundred One,1152552,Eleven Lakh Fifty Two Thousand Five Hundred Fifty Two,8704749,Eighty Seven Lakh Four Thousand Seven Hundred Fourty Nine
14,14,058-20-000008,20-Mar-2020,31-Jul-2020,Resurfacing of road and Improvements of foot path at 4th main road HAL 3rd stage in ward no. 58..,058 New Tippasandara,Executive Engineer C V Raman Nagar East Zone,P2902 Strenthening and widening of Arterial and Sub-arterial roads in Road Infrastructure Division in all the 8 zones of BBMP (Est Cost: Rs 300 Cr),KRIDL BHUSIRI  ACCOU,0000000000,,Final,000196,20-Mar-2020,000049,10-Nov-2020,000086,10-Nov-2020,,           ,Under Process in EE (Acts. Supdt.),9914892,Ninety Nine Lakh Fourteen Thousand Eight Hundred Ninety Two,1086553,Ten Lakh Eighty Six Thousand Five Hundred Fifty Three,8828339,Eighty Eight Lakh Twenty Eight Thousand Three Hundred Thirty Nine
15,15,058-19-000031,05-Mar-2020,05-May-2020,Potholes filling for G.M.palyaÂ   surrounding areas in ward no 58,058 New Tippasandara,Executive Engineer C V Raman Nagar East Zone,P1771 Zone Works - POW Works,B BHARATH,9343143366,,Final,000181,05-Mar-2020,000026,26-Jul-2020,000035,26-Jul-2020,,           ,000252 / 16-Jul-2022 in RTGS,897510,Eight Lakh Ninety Seven Thousand Five Hundred Ten,55320,Fifty Five Thousand Three Hundred Twenty ,842190,Eight Lakh Fourty Two Thousand One Hundred Ninety 
16,16,058-20-000023,29-Feb-2020,27-May-2020,Providing CC roads toG M Palya and surrounding areas at ward no 58 New Thippasandra,058 New Tippasandara,Executive Engineer C V Raman Nagar East Zone,"P3602 Special Development works at ward Nos.02, 06, 07, 08, 11, 12, 16, 21, 23, 24, 25, 30, 37, 40, 41, 47, 48, 53, 54, 55, 56, 58, 59, 61, 62, 66, 73, 78, 87, 91, 106, 107, 110, 118, 120, 131, 136, 147, 148, 151, 157, 180, 190, 192, 197, 198",KRIDL BHUSIRI  ACCOU,0000000000,,Final,000174,29-Feb-2020,000034,26-Aug-2020,000050,26-Aug-2020,,           ,Under Process in AdCf - Acts. Supdt.,1487449,Fourteen Lakh Eighty Seven Thousand Four Hundred Fourty Nine,144472,One Lakh Fourty Four Thousand Four Hundred Seventy Two,1342977,Thirteen Lakh Fourty Two Thousand Nine Hundred Seventy Seven
