,"Bruhat Bengaluru Mahanagara Palike
Works Bill Public View
",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sl No,Job Number,Start Date,End Date,Name of Work,Ward,Office,Budget Head,Contractor,Mobile,Email,Bill Type,Order Number,Order Date,SBR Number,SBR Date,BR Number,BR Date,CBR Number,CBR Date,Payment,Gross,Gross In words,Deduction,Deduction in words,Nett,Nett in words
1,1,035-22-000001,18-Mar-2022,07-May-2022,Pothole fillings in ward 35 Aramanenagar,035 Aramane Nagara,Executive Engineer Malleswaram West Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,NIKSHEP INFRA PROJEC,9916479734,,Final,000107,18-Mar-2022,000004,10-May-2022,000009,11-May-2022,,           ,Under Process in EE (Acts. Supdt.),1999000,Nineteen Lakh Ninety Nine Thousand ,89000,Eighty Nine Thousand ,1910000,Nineteen Lakh Ten Thousand 
2,2,035-21-000002,01-Dec-2021,14-Feb-2022,Consultancy Service for Preparation Detailed Project Report for Improvements and resurfacing to roads in ward no 35 and 45 Mathikere sub division Malleshwaram,035 Aramane Nagara,Executive Engineer Malleswaram West Zone,"P3852 Special Development works at Malleshwaram, Mahalakshmi layout, CV Raman Nagara, Rajajinagara, Govindarajanagara, Chickpet, Basavanagudi, Padmanabhanagara Constituencies (Rs. 20.00 Cr. Per constituency)",APOORVA CONSULTANCY,9886240535,,Final,000082,01-Dec-2021,000013,22-Jun-2022,,           ,,           ,Under Process in Executive Engineer,360000,Three Lakh Sixty  Thousand ,0,,0,
3,3,035-20-000065,12-Sep-2020,07-Jul-2021,  Engaging of Labour and Tractor for Cleaning of Debris  in Sadashivanagar  in Ward No 35,035 Aramane Nagara,Executive Engineer Malleswaram West Zone,P1771 Zone Works - POW Works,BABU C R,9986515460,,First and Final,000029,16-Jul-2021,000020,16-Jul-2021,000048,04-Aug-2021,,           ,000300 / 01-Jan-2022 in RTGS,1436217,Fourteen Lakh Thirty Six Thousand Two Hundred Seventeen,135004,One Lakh Thirty Five Thousand Four,1301213,Thirteen Lakh One Thousand Two Hundred Thirteen
4,4,035-20-000025,22-Jun-2021,06-Sep-2021,Repairs to ElectricalInstallation at Sanky Tank Park in ward no 35,035 Aramane Nagara,Executive Engineer Electrical West Zone,"P0298 M and R to Electrical Installations in Parks and Gardens, Playgrounds, Burial Grounds",Praveen Enterprises,8618755562,,First and Final,000001,22-Jun-2021,000050,23-Sep-2021,000050,23-Sep-2021,,           ,Under Process in AdCf - Acts. Supdt.,319021,Three Lakh Nineteen Thousand Twenty One,25156,Twenty Five Thousand One Hundred Fifty Six,293865,Two Lakh Ninety Three Thousand Eight Hundred Sixty Five
5,5,035-20-000073,16-Jun-2021,07-Jul-2021,Providing barricading and desalting for the immersion of Sri Ganesha Idols at Sankey in ward no 35 (Package-1),035 Aramane Nagara,Executive Engineer Malleswaram West Zone,P3155 Immerssion of Ganesha Idols,Sri Shiva Prakash K,8022975610,,First and Final,000020,16-Jun-2021,000019,16-Jul-2021,000049,04-Aug-2021,,           ,Under Process in AdCf - Acts. Supdt.,1155565,Eleven Lakh Fifty Five Thousand Five Hundred Sixty Five,108624,One Lakh Eight Thousand Six Hundred Twenty Four,1046941,Ten Lakh Fourty Six Thousand Nine Hundred Fourty One
6,6,035-20-000058,02-Jul-2020,14-Sep-2020,Consultancy Service for Preparation Detailed Project Report for  Improvements to roads and drains in Mathikere Sub Division ward no 35 and 45,035 Aramane Nagara,Executive Engineer Malleswaram West Zone,"P3590 Developmental works at  Padmanabhanagar, Rajajinagar, Malleswaram, CV Ramannagar, Basavanagudi, Chickpet, Blore South Assembly constituencies Rs.5.00 Cr each constituencies",CIVIL HEM           ,9886240535,,Running,000005,29-Apr-2021,000016,22-Jun-2021,000037,29-Jun-2021,,           ,Under Process in AdCf - Acts. Supdt.,185000,One Lakh Eighty Five Thousand ,22200,Twenty Two Thousand Two Hundred ,162800,One Lakh Sixty Two Thousand Eight Hundred 
7,7,035-20-000064,11-Nov-2020,31-Dec-2021, Reconstruction of Culverts in MSR Nagara  in Ward No 35,035 Aramane Nagara,Executive Engineer Malleswaram West Zone,P1771 Zone Works - POW Works,Mr  SIDDAPPA  V,9845588804,,Final,000205,18-Feb-2021,000016,01-Jul-2022,000024,04-Jul-2022,,           ,Under Process in EE (Acts. Supdt.),1712000,Seventeen Lakh Twelve Thousand ,83000,Eighty Three Thousand ,1629000,Sixteen Lakh Twenty Nine Thousand 
8,8,035-20-000009,22-Jun-2021,20-Dec-2021,Operation and Maintenance Of Street Lights at  Aramanenagara  and Rajamahalguttahalli in Ward No- 35 and 64,035 Aramane Nagara,Executive Engineer Electrical West Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),CHAITANYA ELECTRICAL,9845267052,chaitanya_electricals@yahoo.in ,Running,000046,20-Jan-2021,000082,25-Mar-2022,000081,25-Mar-2022,,           ,Under Process in EE (Acts. Supdt.),1467868,Fourteen Lakh Sixty Seven Thousand Eight Hundred Sixty Eight,105153,One Lakh Five Thousand One Hundred Fifty Three,1362715,Thirteen Lakh Sixty Two Thousand Seven Hundred Fifteen
9,9,035-20-000009,21-Jan-2021,20-Jun-2021,Operation and Maintenance Of Street Lights at  Aramanenagara  and Rajamahalguttahalli in Ward No- 35 and 64,035 Aramane Nagara,Executive Engineer Electrical West Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),CHAITANYA ELECTRICAL,9845267052,chaitanya_electricals@yahoo.in ,Running,000046,20-Jan-2021,000022,23-Jul-2021,000022,23-Jul-2021,,           ,000246 / 13-Oct-2021 in RTGS,973906,Nine Lakh Seventy Three Thousand Nine Hundred Six,47581,Fourty Seven Thousand Five Hundred Eighty One,926325,Nine Lakh Twenty Six Thousand Three Hundred Twenty Five
