,"Bruhat Bengaluru Mahanagara Palike
Works Bill Public View
",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sl No,Job Number,Start Date,End Date,Name of Work,Ward,Office,Budget Head,Contractor,Mobile,Email,Bill Type,Order Number,Order Date,SBR Number,SBR Date,BR Number,BR Date,CBR Number,CBR Date,Payment,Gross,Gross In words,Deduction,Deduction in words,Nett,Nett in words
1,1,159-22-000006,01-Apr-2022,31-Mar-2023,"Operation and maintenance of street lighting system in ward no-159,  Package R18 of Rajarajeshwari Nagar Zone for the Year 2021-22",159 Kengeri,Executive Engineer (Electrical) Rajarajeshwari Nagar Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),022942 SRI SAI ENTERPRISES ,9845325324,,Running,000016,04-Apr-2022,000029,16-Jul-2022,000029,16-Jul-2022,,           ,Under Process in EE (Acts. Supdt.),549757,Five Lakh Fourty Nine Thousand Seven Hundred Fifty Seven,38059,Thirty Eight Thousand Fifty Nine,511698,Five Lakh Eleven Thousand Six Hundred Ninety Eight
2,2,159-22-000003,11-Feb-2022,05-Apr-2022,Pothole Filling  at   Kengeri Ward Limits in Ward No-159 of Kengeri Sub Division for the year 2021-22,159 Kengeri,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,024559 SHIVAKUMARGOWDA C   ,9454586704,,First and Final,000082,11-Feb-2022,000008,10-May-2022,000021,10-May-2022,,           ,Under Process in AdCf - Acts. Supdt.,1520949,Fifteen Lakh Twenty  Thousand Nine Hundred Fourty Nine,187246,One Lakh Eighty Seven Thousand Two Hundred Fourty Six,1333703,Thirteen Lakh Thirty Three Thousand Seven Hundred Three
3,3,159-22-000002,08-Feb-2022,08-Apr-2022,"Maintenance for Repairs and Replacement of Parts of Submersible Pumpset, Motor, Control Panels, Internal and External Wiring in  at   Kengeri Ward Limit   in Ward No:159 of Kengeri Sub Division for the year 2021-22",159 Kengeri,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P1802 Water Supply New Areas,SURESH B N          ,9900197571,,First and Final,000080,08-Feb-2022,000007,09-May-2022,000019,10-May-2022,,           ,Under Process in AdCf - Acts. Supdt.,1315959,Thirteen Lakh Fifteen Thousand Nine Hundred Fifty Nine,51136,Fifty One Thousand One Hundred Thirty Six,1264823,Twelve Lakh Sixty Four Thousand Eight Hundred Twenty Three
4,4,159-21-000032,20-Jan-2022,07-Apr-2022,"Providing high intensity illumination to Shirke circle junction, Shankarnag circle junction and Robin theatre junction of ward no. 159 under RR nagar zone.",159 Kengeri,Executive Engineer (Electrical) Rajarajeshwari Nagar Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),023984 SRI BHAGWAN ELECTRIC,9449627307,,First and Final,000021,20-Jan-2022,000003,18-May-2022,000003,18-May-2022,,           ,Under Process in EE (Acts. Supdt.),505678,Five Lakh Five Thousand Six Hundred Seventy Eight,19652,Nineteen Thousand Six Hundred Fifty Two,486026,Four Lakh Eighty Six Thousand Twenty Six
5,5,159-22-000001,15-Dec-2021,07-Feb-2022,Drilling Borewells and Providing Water Supply and Other basic Infrastructure in BBMP Limits of Yeshawanthapura,159 Kengeri,Executive Engineer (Project) Rajarajeshwari Nagar Zone,P3075 Special comprehensive development works in Bangalore city (Bangalore city in charge Minister Discretionary Grants),SIDDEGOWDA B,9731449749,,First and Final,000027,15-Dec-2021,000048,24-Feb-2022,000052,24-Feb-2022,,           ,Under Process in AdCf - Acts. Supdt.,92924058,Nine Crore Twenty Nine Lakh Twenty Four Thousand Fifty Eight,7101888,Seventy One Lakh One Thousand Eight Hundred Eighty Eight,85822170,Eight Crore Fifty Eight Lakh Twenty Two Thousand One Hundred Seventy 
6,6,159-21-000009,07-Sep-2021,19-May-2022,Consultancy services for Project Management including supervision and Quality Control for the Work Improvements to Drains in 12th Cross to 15th Cross and Surrounding area in Suncity Ward No-159 Kengeri,159 Kengeri,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P2573 Encouragement to Rural Sports (Marali ba Atada Maidhanakke) Dy Mayors discretionary,CIVIL QUALITY CONSUL,9886998316,,First and Final,000057,07-Sep-2021,000017,06-Jun-2022,000039,15-Jun-2022,,           ,Under Process in EE (Acts. Supdt.),190500,One Lakh Ninety  Thousand Five Hundred ,19050,Nineteen Thousand Fifty ,171450,One Lakh Seventy One Thousand Four Hundred Fifty 
7,7,159-21-000011,07-Sep-2021,19-May-2022,Consultancy services for Project Management including supervision and Quality Control for the Work Improvements to Drains in Arunachalam Layout and Surrounding area in Ward No-159 Kengeri,159 Kengeri,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P2573 Encouragement to Rural Sports (Marali ba Atada Maidhanakke) Dy Mayors discretionary,CIVIL QUALITY CONSUL,9886998316,,First and Final,000051,07-Sep-2021,000015,06-Jun-2022,000041,15-Jun-2022,,           ,Under Process in EE (Acts. Supdt.),189000,One Lakh Eighty Nine Thousand ,18900,Eighteen Thousand Nine Hundred ,170100,One Lakh Seventy  Thousand One Hundred 
8,8,159-21-000012,07-Sep-2021,19-May-2022,Providing Consultancy Services for Project Management including supervision and Quality Control for Improvements to Drains and Footpath in Basaveshwara Layout Ramegowda Layout and Surrounding area in ard No-159,159 Kengeri,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P0190 Works sanctioned by Hon Mayor,CIVIL QUALITY CONSUL,9886998316,,First and Final,000049,07-Sep-2021,000016,06-Jun-2022,000040,15-Jun-2022,,           ,Under Process in EE (Acts. Supdt.),190000,One Lakh Ninety  Thousand ,19000,Nineteen Thousand ,171000,One Lakh Seventy One Thousand 
9,9,159-21-000006,07-Sep-2021,19-May-2022,Consultancy services for Project Management including supervision and Quality Control for the Work Development and Improvements of Park and Allied works in Ward No-159 (Kengeri),159 Kengeri,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P3075 Special comprehensive development works in Bangalore city (Bangalore city in charge Minister Discretionary Grants),CIVIL QUALITY CONSUL,9886998316,,First and Final,000055,07-Sep-2021,000019,06-Jun-2022,000035,14-Jun-2022,,           ,Under Process in EE (Acts. Supdt.),189500,One Lakh Eighty Nine Thousand Five Hundred ,18950,Eighteen Thousand Nine Hundred Fifty ,170550,One Lakh Seventy  Thousand Five Hundred Fifty 
10,10,159-21-000007,07-Sep-2021,19-May-2022,Consultancy services for Project Management including supervision and Quality Control for the Work Construction of RCC Drains with covering slabs and other development works in Ward No-159,159 Kengeri,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P3075 Special comprehensive development works in Bangalore city (Bangalore city in charge Minister Discretionary Grants),CIVIL QUALITY CONSUL,9886998316,,First and Final,000052,07-Sep-2021,000018,06-Jun-2022,000036,14-Jun-2022,,           ,Under Process in EE (Acts. Supdt.),188000,One Lakh Eighty Eight Thousand ,18800,Eighteen Thousand Eight Hundred ,169200,One Lakh Sixty Nine Thousand Two Hundred 
11,11,159-21-000010,07-Sep-2021,19-May-2022,Consultancy services for Project Management including supervision and Quality Control for the Work Improvements to Drains in 2nd Railway Parallel Road and Adjacent roads in Ward No-159 Kengeri,159 Kengeri,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P2573 Encouragement to Rural Sports (Marali ba Atada Maidhanakke) Dy Mayors discretionary,CIVIL QUALITY CONSUL,9886998316,,First and Final,000056,07-Sep-2021,000020,06-Jun-2022,000034,14-Jun-2022,,           ,Under Process in EE (Acts. Supdt.),189500,One Lakh Eighty Nine Thousand Five Hundred ,18950,Eighteen Thousand Nine Hundred Fifty ,170550,One Lakh Seventy  Thousand Five Hundred Fifty 
12,12,159-21-000009,25-Aug-2021,25-Oct-2021,Improvements to drains in 12th cross to 15th cross and surrounding area in Suncity ward no 159 Kengeri,159 Kengeri,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P2573 Encouragement to Rural Sports (Marali ba Atada Maidhanakke) Dy Mayors discretionary,SRI VENKATESHWARA EN,9964577113,vivekgowdahs@gmail.com,First and Final,000047,25-Aug-2021,000110,30-Oct-2021,000154,30-Oct-2021,,           ,Under Process in AdCf - Acts. Supdt.,19556958,One Crore Ninety Five Lakh Fifty Six Thousand Nine Hundred Fifty Eight,977778,Nine Lakh Seventy Seven Thousand Seven Hundred Seventy Eight,18579180,One Crore Eighty Five Lakh Seventy Nine Thousand One Hundred Eighty 
13,13,159-21-000010,25-Aug-2021,25-Oct-2021,Improvements to drains in 2nd Railway Parallel road and adjacent roads in ward no 159 Kengeri,159 Kengeri,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P2573 Encouragement to Rural Sports (Marali ba Atada Maidhanakke) Dy Mayors discretionary,RAYEE GOWDA CONSTRUC,9442856782,,First and Final,000044,25-Aug-2021,000109,30-Oct-2021,000152,30-Oct-2021,,           ,Under Process in AdCf - Acts. Supdt.,19549895,One Crore Ninety Five Lakh Fourty Nine Thousand Eight Hundred Ninety Five,2025455,Twenty  Lakh Twenty Five Thousand Four Hundred Fifty Five,17524440,One Crore Seventy Five Lakh Twenty Four Thousand Four Hundred Fourty 
14,14,159-21-000011,25-Aug-2021,25-Oct-2021,Improvements  drains in  Arunachalam Layout and surrounding area  in ward no 159 Kengeri,159 Kengeri,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P2573 Encouragement to Rural Sports (Marali ba Atada Maidhanakke) Dy Mayors discretionary,SUJAN S GOWDA,9448069577,,First and Final,000046,25-Aug-2021,000111,30-Oct-2021,000155,30-Oct-2021,,           ,Under Process in AdCf - Acts. Supdt.,19557552,One Crore Ninety Five Lakh Fifty Seven Thousand Five Hundred Fifty Two,1066815,Ten Lakh Sixty Six Thousand Eight Hundred Fifteen,18490737,One Crore Eighty Four Lakh Ninety  Thousand Seven Hundred Thirty Seven
15,15,159-21-000012,25-Aug-2021,25-Oct-2021,Improvements to Drains and Footpath in Basaveshwara Layout Ramegowda Layout and Surrounding areas in ward no 159,159 Kengeri,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P0190 Works sanctioned by Hon Mayor,RAYEE GOWDA CONSTRUC,9442856782,,First and Final,000045,25-Aug-2021,000108,30-Oct-2021,000153,30-Oct-2021,,           ,Under Process in AdCf - Acts. Supdt.,19459658,One Crore Ninety Four Lakh Fifty Nine Thousand Six Hundred Fifty Eight,2071325,Twenty  Lakh Seventy One Thousand Three Hundred Twenty Five,17388333,One Crore Seventy Three Lakh Eighty Eight Thousand Three Hundred Thirty Three
16,16,159-21-000006,19-Aug-2021,04-Dec-2021,Development and Improvements of parks and allied works in ward no 159 (Kengeri),159 Kengeri,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P3075 Special comprehensive development works in Bangalore city (Bangalore city in charge Minister Discretionary Grants),KBR INFRATECH LIMITE,9945451177,,First and Final,000038,19-Aug-2021,000172,24-Feb-2022,000246,24-Feb-2022,,           ,Under Process in AdCf - Acts. Supdt.,19569659,One Crore Ninety Five Lakh Sixty Nine Thousand Six Hundred Fifty Nine,2004816,Twenty  Lakh Four Thousand Eight Hundred Sixteen,17564843,One Crore Seventy Five Lakh Sixty Four Thousand Eight Hundred Fourty Three
