,"Bruhat Bengaluru Mahanagara Palike
Works Bill Public View
",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sl No,Job Number,Start Date,End Date,Name of Work,Ward,Office,Budget Head,Contractor,Mobile,Email,Bill Type,Order Number,Order Date,SBR Number,SBR Date,BR Number,BR Date,CBR Number,CBR Date,Payment,Gross,Gross In words,Deduction,Deduction in words,Nett,Nett in words
1,1,073-21-000007,07-Jan-2022,21-Mar-2022,Development of Roads at Premanagara in ward no 73 kottigepalya,073 Kottegepalya,Executive Engineer Rajarajeshwari Nagar Division,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,Mr  UMESH  N,9980691932,,First and Final,000154,07-Jan-2022,000001,05-Apr-2022,000002,05-Apr-2022,,           ,Under Process in AdCf - Acts. Supdt.,4469988,Fourty Four Lakh Sixty Nine Thousand Nine Hundred Eighty Eight,437188,Four Lakh Thirty Seven Thousand One Hundred Eighty Eight,4032800,Fourty  Lakh Thirty Two Thousand Eight Hundred 
2,2,073-21-000035,28-Dec-2021,05-Apr-2022,Providing high intensity illumination to Summanahalli junction and Sriganda kaval kottigepalya junction of ward no. 73 under RR nagar zone,073 Kottegepalya,Executive Engineer (Electrical) Rajarajeshwari Nagar Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),022319 NIHARIKA ELECTRICALS,9538877477,,First and Final,000017,28-Dec-2021,000001,18-May-2022,000001,18-May-2022,,           ,Under Process in EE (Acts. Supdt.),716359,Seven Lakh Sixteen Thousand Three Hundred Fifty Nine,27836,Twenty Seven Thousand Eight Hundred Thirty Six,688523,Six Lakh Eighty Eight Thousand Five Hundred Twenty Three
3,3,073-21-000001,22-Dec-2021,10-Feb-2022,Construction and Maintenance of Culverts in Nagarabhavi Surrounding area in Kottigepalya ward no 73,073 Kottegepalya,Executive Engineer Rajarajeshwari Nagar Division,"P3800 Special Development works at Ward Nos. 16, 37, 42, 73, 25, 53, 55, 81, 72, 198, 62, 63, 82  ? Each ward Rs.1.00 Crores",Mr  RAVI  H V,9481333093,,First and Final,000150,22-Dec-2021,000057,15-Mar-2022,000250,15-Mar-2022,,           ,Under Process in AdCf - Acts. Supdt.,1461461,Fourteen Lakh Sixty One Thousand Four Hundred Sixty One,130661,One Lakh Thirty  Thousand Six Hundred Sixty One,1330800,Thirteen Lakh Thirty  Thousand Eight Hundred 
4,4,073-21-000002,18-Dec-2021,28-Dec-2021,Development of Road and Drain near Govindaraju House 11th Block in Kottigepalya ward no 73,073 Kottegepalya,Executive Engineer Rajarajeshwari Nagar Division,"P3800 Special Development works at Ward Nos. 16, 37, 42, 73, 25, 53, 55, 81, 72, 198, 62, 63, 82  ? Each ward Rs.1.00 Crores",GOVINDARAJU K R,9880388013,,First and Final,000148,18-Dec-2021,000050,11-Jan-2022,000214,11-Jan-2022,,           ,Under Process in AdCf - Acts. Supdt.,2945183,Twenty Nine Lakh Fourty Five Thousand One Hundred Eighty Three,136583,One Lakh Thirty Six Thousand Five Hundred Eighty Three,2808600,Twenty Eight Lakh Eight Thousand Six Hundred 
5,5,073-21-000010,18-Nov-2021,30-Dec-2021,Development of Road at Malagala in ward no 73 Kottigepalya,073 Kottegepalya,Executive Engineer Rajarajeshwari Nagar Division,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,Mr  RAVI  H V,9481333093,,First and Final,000139,18-Nov-2021,000058,15-Mar-2022,000251,15-Mar-2022,,           ,Under Process in AdCf - Acts. Supdt.,2965848,Twenty Nine Lakh Sixty Five Thousand Eight Hundred Fourty Eight,380848,Three Lakh Eighty  Thousand Eight Hundred Fourty Eight,2585000,Twenty Five Lakh Eighty Five Thousand 
6,6,073-20-000082,28-Oct-2021,25-Apr-2022,Providing Electrical M and R to DG sets in RR Nagara zone ward no 73 ,073 Kottegepalya,Executive Engineer (Electrical) Rajarajeshwari Nagar Zone,"P0303 M and R to Pumpsets, Lifts, DG Sets, Wireless sets and Internal Telephone Exchange",R K GROUP OF COMPANY,9108948566,,Running,000007,28-Oct-2021,000024,13-Jul-2022,000024,13-Jul-2022,,           ,Under Process in EE (Acts. Supdt.),242704,Two Lakh Fourty Two Thousand Seven Hundred Four,21566,Twenty One Thousand Five Hundred Sixty Six,221138,Two Lakh Twenty One Thousand One Hundred Thirty Eight
7,7,073-21-000034,18-Sep-2021,08-Nov-2021,Construction of Dog Kennel in ward no 73 Kottigepalya,073 Kottegepalya,Executive Engineer (Project) Rajarajeshwari Nagar Zone,P3784 Establishment of Dog Kennel in New Zones,KANISHKA CONSTRUCTIO,9663362593,,First and Final,000023,18-Sep-2021,000037,20-Nov-2021,000038,24-Nov-2021,,           ,Under Process in AdCf - Acts. Supdt.,1488204,Fourteen Lakh Eighty Eight Thousand Two Hundred Four,79710,Seventy Nine Thousand Seven Hundred Ten,1408494,Fourteen Lakh Eight Thousand Four Hundred Ninety Four
8,8,073-21-000011,08-Mar-2021,05-Apr-2021,Providing chain link fencing to SWD in ward no 73 Kottigepalya Malagala main road of RR Nagara Zone,073 Kottegepalya,Chief Engineer SWD Central Zone,P3812 SWD Emergency Repairs Works,H.J.Gopi,9742767709,,First and Final,000004,24-Aug-2021,000011,07-Dec-2021,000139,07-Dec-2021,,           ,Under Process in AdCf - Acts. Supdt.,2289168,Twenty Two Lakh Eighty Nine Thousand One Hundred Sixty Eight,108364,One Lakh Eight Thousand Three Hundred Sixty Four,2180804,Twenty One Lakh Eighty  Thousand Eight Hundred Four
9,9,073-21-000004,23-Jul-2021,13-Sep-2021,Maintenance of Library and Auditorium at 11th Block in Kottigepalya ward no 73,073 Kottegepalya,Executive Engineer Rajarajeshwari Nagar Division,"P3800 Special Development works at Ward Nos. 16, 37, 42, 73, 25, 53, 55, 81, 72, 198, 62, 63, 82  ? Each ward Rs.1.00 Crores",MANJULA K           ,9448009463,,First and Final,000061,23-Jul-2021,000047,16-Dec-2021,000201,16-Dec-2021,,           ,Under Process in AdCf - Acts. Supdt.,2387202,Twenty Three Lakh Eighty Seven Thousand Two Hundred Two,204302,Two Lakh Four Thousand Three Hundred Two,2182900,Twenty One Lakh Eighty Two Thousand Nine Hundred 
