,"Bruhat Bengaluru Mahanagara Palike
Works Bill Public View
",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sl No,Job Number,Start Date,End Date,Name of Work,Ward,Office,Budget Head,Contractor,Mobile,Email,Bill Type,Order Number,Order Date,SBR Number,SBR Date,BR Number,BR Date,CBR Number,CBR Date,Payment,Gross,Gross In words,Deduction,Deduction in words,Nett,Nett in words
1,1,028-22-000004,05-May-2022,07-Jul-2022,"Improvements to Culverts at Subbaiahna Palya Surrounding Area in ward no.28, Kammanahalli.",028 Kammanahalli,Executive Engineer Sarvagnanagar East Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,026152 VINOD G,9945632963,,First and Final,000015,05-May-2022,000030,27-Jun-2022,000038,27-Jun-2022,,           ,Under Process in TVCC Chief Engineer,649535,Six Lakh Fourty Nine Thousand Five Hundred Thirty Five,37419,Thirty Seven Thousand Four Hundred Nineteen,612116,Six Lakh Twelve Thousand One Hundred Sixteen
2,2,028-22-000003,19-Apr-2022,18-Jul-2022,Construction of CC Drains at Sadashiva Temple Road and  Surrounding area  in ward no.28 Kammanahalli,028 Kammanahalli,Executive Engineer Sarvagnanagar East Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,022791 SANTOSH N,8123413136,,First and Final,000002,19-Apr-2022,000020,18-Jun-2022,000026,18-Jun-2022,,           ,Under Process in AdCf - Acts. Supdt.,1691413,Sixteen Lakh Ninety One Thousand Four Hundred Thirteen,86899,Eighty Six Thousand Eight Hundred Ninety Nine,1604514,Sixteen Lakh Four Thousand Five Hundred Fourteen
3,3,028-20-000020,07-Aug-2021,06-Nov-2021,"Improvements to drain and footpath at Kammanahalli main road in Westren Side, ward no 28 Kammanahalli",028 Kammanahalli,Executive Engineer Sarvagnanagar East Zone,"P3739 Special development works in Ward No. 01, 03, 04, 05, 09, 10, 13, 15, 17, 19, 20, 26, 27, 28, 29, 34, 35, 36, 39, 43, 45, 46, 51, 52, 57, 64, 65, 71, 79, 83, 85, 88, 89,93, 96, 100, 101, 103,104, 105, 108, 109, 111, 114, 115, 119, 123, 124, 125, 126, 127, 128, 129, 130, 132, 133, 137, 138, 142, 143, 146, 149, 150, 154, 155, 156, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 170, 173, 174, 175, 177, 178, 179, 181, 182, 183, 184, 185, 186, 187, 188, 189, 191, 193, 194, 195, 196  ( Total 98 wards 2.50 crors for each ward)",NANDAKUMAR G M,9448065010,,First and Final,000027,07-Aug-2021,000064,15-Nov-2021,000097,15-Nov-2021,,           ,Under Process in AdCf - Acts. Supdt.,8807902,Eighty Eight Lakh Seven Thousand Nine Hundred Two,484119,Four Lakh Eighty Four Thousand One Hundred Nineteen,8323783,Eighty Three Lakh Twenty Three Thousand Seven Hundred Eighty Three
4,4,028-20-000019,07-Aug-2021,06-Dec-2021,"Improvements to drain and footpath at Kammanahalli main road in Eastern Side, ward no 28 Kammanahalli",028 Kammanahalli,Executive Engineer Sarvagnanagar East Zone,"P3739 Special development works in Ward No. 01, 03, 04, 05, 09, 10, 13, 15, 17, 19, 20, 26, 27, 28, 29, 34, 35, 36, 39, 43, 45, 46, 51, 52, 57, 64, 65, 71, 79, 83, 85, 88, 89,93, 96, 100, 101, 103,104, 105, 108, 109, 111, 114, 115, 119, 123, 124, 125, 126, 127, 128, 129, 130, 132, 133, 137, 138, 142, 143, 146, 149, 150, 154, 155, 156, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 170, 173, 174, 175, 177, 178, 179, 181, 182, 183, 184, 185, 186, 187, 188, 189, 191, 193, 194, 195, 196  ( Total 98 wards 2.50 crors for each ward)",K R SANTHOSH KUMAR,9448123078,,First and Final,000026,07-Aug-2021,000063,11-Nov-2021,000095,11-Nov-2021,,           ,Under Process in AdCf - Acts. Supdt.,9293744,Ninety Two Lakh Ninety Three Thousand Seven Hundred Fourty Four,517425,Five Lakh Seventeen Thousand Four Hundred Twenty Five,8776319,Eighty Seven Lakh Seventy Six Thousand Three Hundred Nineteen
5,5,028-21-000006,20-Mar-2021,19-May-2022,IMPROVEMENTYS TO ROADS AND DRAINS AT  2nd MAIN CROSS ROADS JANAKIRAM LAYOUT AND SURROUNDING AREA IN WARD NO 28 KAMMANAHALLI,028 Kammanahalli,Executive Engineer Sarvagnanagar East Zone,"P1878 18per - Works (Bhagyajyothi, Sooru / Neeru Yojane and General) (54 Lakhs / New Wards)",K VENKATARAJU,7019625160,,First and Final,000199,20-Mar-2021,000002,11-Apr-2022,000003,11-Apr-2022,,           ,Under Process in AdCf - Acts. Supdt.,9498914,Ninety Four Lakh Ninety Eight Thousand Nine Hundred Fourteen,519112,Five Lakh Nineteen Thousand One Hundred Twelve,8979802,Eighty Nine Lakh Seventy Nine Thousand Eight Hundred Two
6,6,028-21-000004,20-Mar-2021,19-Jun-2021,IMPROVEMENTYS TO ROADS AND DRAINS AT JANAKIRAM LAYOUT AND KHB COLONY SURROUNDING AREA IN WARD NO 28 KAMMANAHALLI,028 Kammanahalli,Executive Engineer Sarvagnanagar East Zone,"P1878 18per - Works (Bhagyajyothi, Sooru / Neeru Yojane and General) (54 Lakhs / New Wards)",K VENKATARAJU,7019625160,,First and Final,000198,20-Mar-2021,000039,18-Aug-2021,000059,18-Aug-2021,,           ,Under Process in AdCf - Acts. Supdt.,9859612,Ninety Eight Lakh Fifty Nine Thousand Six Hundred Twelve,634124,Six Lakh Thirty Four Thousand One Hundred Twenty Four,9225488,Ninety Two Lakh Twenty Five Thousand Four Hundred Eighty Eight
7,7,028-21-000005,20-Mar-2021,19-Jul-2021,IMPROVEMENTYS TO ROADS AND DRAINS AT  ANDRA COLONY AND SURROUNDINGS AREA IN WARD NO 28 KAMMANAHALLI,028 Kammanahalli,Executive Engineer Sarvagnanagar East Zone,"P1878 18per - Works (Bhagyajyothi, Sooru / Neeru Yojane and General) (54 Lakhs / New Wards)",K VENKATARAJU,7019625160,,First and Final,000200,20-Mar-2021,000040,18-Aug-2021,000060,18-Aug-2021,,           ,Under Process in AdCf - Acts. Supdt.,9651338,Ninety Six Lakh Fifty One Thousand Three Hundred Thirty Eight,557544,Five Lakh Fifty Seven Thousand Five Hundred Fourty Four,9093794,Ninety  Lakh Ninety Three Thousand Seven Hundred Ninety Four
8,8,028-20-000047,01-Mar-2021,12-Apr-2021,Debris Cleaning at KHB Colony Play Ground and IOC flyover in  Surrounding area in Ward No. 28  Kammanahalli .,028 Kammanahalli,Executive Engineer Sarvagnanagar East Zone,P1771 Zone Works - POW Works,VINOD KUMAR  K  S,9900322885,,First and Final,000185,01-Mar-2021,000018,30-Apr-2021,000022,30-Apr-2021,,           ,Under Process in AdCf - Acts. Supdt.,405562,Four Lakh Five Thousand Five Hundred Sixty Two,17574,Seventeen Thousand Five Hundred Seventy Four,387988,Three Lakh Eighty Seven Thousand Nine Hundred Eighty Eight
9,9,028-20-000049,01-Mar-2021,29-Apr-2021,Providing Street Name Boards  in Ward No. 28  Kammanahalli .,028 Kammanahalli,Executive Engineer Sarvagnanagar East Zone,P1771 Zone Works - POW Works,VINOD KUMAR  K  S,9900322885,,First and Final,000184,01-Mar-2021,000017,30-Apr-2021,000021,30-Apr-2021,,           ,Under Process in AdCf - Acts. Supdt.,826811,Eight Lakh Twenty Six Thousand Eight Hundred Eleven,38377,Thirty Eight Thousand Three Hundred Seventy Seven,788434,Seven Lakh Eighty Eight Thousand Four Hundred Thirty Four
