,"Bruhat Bengaluru Mahanagara Palike
Works Bill Public View
",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sl No,Job Number,Start Date,End Date,Name of Work,Ward,Office,Budget Head,Contractor,Mobile,Email,Bill Type,Order Number,Order Date,SBR Number,SBR Date,BR Number,BR Date,CBR Number,CBR Date,Payment,Gross,Gross In words,Deduction,Deduction in words,Nett,Nett in words
1,1,063-21-000006,28-Dec-2021,26-Apr-2022,"Improvements by providing Mild Steel Tubular Poles, Cable and other electrical accessories to various junctions under jurisdiction of Shivajinagara Traffic Police station..ward no 63, 110",063 Jayamahal,Executive Engineer Electrical East Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),PRADEEP  ELECTRICALS,9886406638,,First and Final,000020,28-Dec-2021,000046,20-Jun-2022,000046,20-Jun-2022,,           ,Under Process in EE (Acts. Supdt.),1190053,Eleven Lakh Ninety  Thousand Fifty Three,58222,Fifty Eight Thousand Two Hundred Twenty Two,1131831,Eleven Lakh Thirty One Thousand Eight Hundred Thirty One
2,2,063-20-000035,15-Jun-2021,23-Jul-2021,Construction of Rain Water Harvesting Works  in Ward No. 63 Jayamahal .,063 Jayamahal,Executive Engineer Shivajinagar East Zone,P1771 Zone Works - POW Works,KOUSHAL S           ,8050030921,,First and Final,000008,15-Jun-2021,000020,06-Aug-2021,000040,07-Aug-2021,,           ,Under Process in AdCf - Acts. Supdt.,2331800,Twenty Three Lakh Thirty One Thousand Eight Hundred ,184500,One Lakh Eighty Four Thousand Five Hundred ,2147300,Twenty One Lakh Fourty Seven Thousand Three Hundred 
3,3,063-20-000030,05-Mar-2021,26-Jun-2021,"Improvements of Roads, footpath and Drains and Providing Railings in Millar road Crosses, behind Kodva Samaja and Surrounding area in Ward No. 63 ",063 Jayamahal,Executive Engineer Shivajinagar East Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,Mr  MANJUNATH S V,9448032450,,First and Final,000152,05-Mar-2021,000011,10-Jun-2022,,           ,,           ,Under Process in Executive Engineer,6294920,Sixty Two Lakh Ninety Four Thousand Nine Hundred Twenty ,0,,0,
4,4,063-20-000010,22-Nov-2021,21-Dec-2021,Operation and Maintenance of street lights at area ward no 63 package E12,063 Jayamahal,Executive Engineer Electrical East Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),MERCURY ELECTRICALS,9844025075,mercuryelectricals@yahoo.com,Running,000069,22-Dec-2020,000015,03-Jun-2022,000015,03-Jun-2022,,           ,Under Process in EE (Acts. Supdt.),193590,One Lakh Ninety Three Thousand Five Hundred Ninety ,12291,Twelve Thousand Two Hundred Ninety One,181299,One Lakh Eighty One Thousand Two Hundred Ninety Nine
5,5,063-20-000010,22-Dec-2021,28-Feb-2022,Operation and Maintenance of street lights at area ward no 63 package E12,063 Jayamahal,Executive Engineer Electrical East Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),MERCURY ELECTRICALS,9844025075,mercuryelectricals@yahoo.com,Running,000069,22-Dec-2020,000016,03-Jun-2022,000016,03-Jun-2022,,           ,Under Process in EE (Acts. Supdt.),179087,One Lakh Seventy Nine Thousand Eighty Seven,13559,Thirteen Thousand Five Hundred Fifty Nine,165528,One Lakh Sixty Five Thousand Five Hundred Twenty Eight
6,6,063-20-000010,22-Jul-2021,21-Nov-2021,Operation and Maintenance of street lights at area ward no 63 package E12,063 Jayamahal,Executive Engineer Electrical East Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),MERCURY ELECTRICALS,9844025075,mercuryelectricals@yahoo.com,Running,000069,22-Dec-2020,000170,09-Feb-2022,000165,09-Feb-2022,,           ,000255 / 16-Jul-2022 in RTGS,717774,Seven Lakh Seventeen Thousand Seven Hundred Seventy Four,50543,Fifty  Thousand Five Hundred Fourty Three,667231,Six Lakh Sixty Seven Thousand Two Hundred Thirty One
7,7,063-20-000010,22-Dec-2020,22-Aug-2021,Operation and Maintenance of street lights at area ward no 63 package E12,063 Jayamahal,Executive Engineer Electrical East Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),MERCURY ELECTRICALS,9844025075,mercuryelectricals@yahoo.com,Running,000069,22-Dec-2020,000107,13-Aug-2021,000102,13-Aug-2021,,           ,000246 / 13-Oct-2021 in RTGS,160380,One Lakh Sixty  Thousand Three Hundred Eighty ,14752,Fourteen Thousand Seven Hundred Fifty Two,145628,One Lakh Fourty Five Thousand Six Hundred Twenty Eight
8,8,063-20-000010,22-Dec-2020,25-May-2021,Operation and Maintenance of street lights at area ward no 63 package E12,063 Jayamahal,Executive Engineer Electrical East Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),MERCURY ELECTRICALS,9844025075,mercuryelectricals@yahoo.com,Running,000069,22-Dec-2020,000050,15-Jun-2021,000045,15-Jun-2021,,           ,000246 / 13-Oct-2021 in RTGS,400950,Four Lakh Nine Hundred Fifty ,33640,Thirty Three Thousand Six Hundred Fourty ,367310,Three Lakh Sixty Seven Thousand Three Hundred Ten
9,9,063-19-000001,06-Aug-2019,10-Dec-2019,Consultancy Services for Proposed Construction of Urbon Poor Hospital at ward no 63 Bradway road Bangalore,063 Jayamahal,Executive Engineer Project East Zone,P1883 Consultancy charges (Project Management),NANDISH ASSOCIATES  ,9844024123,,First and Final,000012,26-Jun-2020,000020,26-Jun-2020,000023,30-Jun-2020,,           ,000193 / 21-Jun-2022 in RTGS,2847500,Twenty Eight Lakh Fourty Seven Thousand Five Hundred ,341700,Three Lakh Fourty One Thousand Seven Hundred ,2505800,Twenty Five Lakh Five Thousand Eight Hundred 
10,10,063-18-000043,17-Mar-2020,24-Apr-2020,Electrical repairs to Queens road BBMP office building in Ward No 63  ,063 Jayamahal,Executive Engineer Electrical East Zone,"P0294 M and R to Electrical Inst in BMP Buildings, Schools, M.Homes, Community Halls, Markets and Others",POWERTECH ELECTRICAL,9901801661,irshad.skr@gmail.com,First and Final,000118,20-Mar-2020,000017,05-May-2020,000019,05-May-2020,,           ,000122 / 23-May-2022 in RTGS,372771,Three Lakh Seventy Two Thousand Seven Hundred Seventy One,18248,Eighteen Thousand Two Hundred Fourty Eight,354523,Three Lakh Fifty Four Thousand Five Hundred Twenty Three
11,11,063-19-000034,18-Mar-2020,19-Aug-2020,Rainwater harvesiting in ward No.63						,063 Jayamahal,Executive Engineer Shivajinagar East Zone,P1771 Zone Works - POW Works,B.N. Krishnaraj,9856236598,,First and Final,000193,17-Mar-2020,000043,25-Sep-2020,000083,25-Sep-2020,,           ,Under Process in AdCf - Acts. Supdt.,1465524,Fourteen Lakh Sixty Five Thousand Five Hundred Twenty Four,77020,Seventy Seven Thousand Twenty ,1388504,Thirteen Lakh Eighty Eight Thousand Five Hundred Four
12,12,063-19-000030,29-Feb-2020,27-Jul-2020,Construction of Public Toilet Blocks at GC  colony in ward no 63,063 Jayamahal,Executive Engineer Shivajinagar East Zone,P3112 Swacha Bharatha Abhiyana Grant Works,VIJAY KUMAR S,9986434243,,First and Final,000167,29-Feb-2020,000053,03-Oct-2020,000099,06-Oct-2020,,           ,Under Process in AdCf - Acts. Supdt.,2226605,Twenty Two Lakh Twenty Six Thousand Six Hundred Five,107410,One Lakh Seven Thousand Four Hundred Ten,2119195,Twenty One Lakh Nineteen Thousand One Hundred Ninety Five
13,13,063-19-000004,17-Jan-2020,01-Sep-2020,Improvements to lighting in Jayamahal park. Tasker Town Park Chacha Park and other parks in Jayamahal ward no 63,063 Jayamahal,Executive Engineer Electrical East Zone,P0190 Works sanctioned by Hon Mayor,KRIDL BHUSIRI  ACCOU,0000000000,,First and Final,000098,22-Jan-2020,000093,23-Sep-2020,000094,23-Sep-2020,,           ,Under Process in AdCf - Acts. Supdt.,4965094,Fourty Nine Lakh Sixty Five Thousand Ninety Four,625024,Six Lakh Twenty Five Thousand Twenty Four,4340070,Fourty Three Lakh Fourty  Thousand Seventy 
14,14,063-19-000006,24-Dec-2019,20-Jun-2020,Providing Asphalting to 5th main road 5th cross and 6th cross road and surrounding area  in ward no 63,063 Jayamahal,Executive Engineer Shivajinagar East Zone,P0190 Works sanctioned by Hon Mayor,KRIDL BHUSIRI  ACCOU,0000000000,,Final,000137,26-Dec-2019,000008,27-Apr-2021,000010,28-Apr-2021,,           ,Under Process in AdCf - Acts. Supdt.,4975565,Fourty Nine Lakh Seventy Five Thousand Five Hundred Sixty Five,592065,Five Lakh Ninety Two Thousand Sixty Five,4383500,Fourty Three Lakh Eighty Three Thousand Five Hundred 
