,"Bruhat Bengaluru Mahanagara Palike
Works Bill Public View
",,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,044-19-000044,17-Jul-2021,20-Jan-2022,Improvements to roads and drains at Saveles roads balance portion of Ullas theatre road and DWCC work in ward no.44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3403 Special Development works at Marappanapalya ward,PUTTASWAMY B R      ,9945299158,,First and Final,000140,17-Jul-2021,000133,28-Jan-2022,000215,31-Jan-2022,,           ,Under Process in AdCf - Acts. Supdt.,8998970,Eighty Nine Lakh Ninety Eight Thousand Nine Hundred Seventy ,816956,Eight Lakh Sixteen Thousand Nine Hundred Fifty Six,8182014,Eighty One Lakh Eighty Two Thousand Fourteen
11,11,044-19-000058,03-Jul-2021,26-Jul-2021,Construction of Govt school building (balance work) at Krishnandanagara in ward no.44 Marappanapalya.,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3403 Special Development works at Marappanapalya ward,SKBASAVARAJU,9448372828,,First and Final,000137,03-Jul-2021,000041,26-Jul-2021,000071,28-Jul-2021,,           ,Under Process in AdCf - Acts. Supdt.,9011699,Ninety  Lakh Eleven Thousand Six Hundred Ninety Nine,782027,Seven Lakh Eighty Two Thousand Twenty Seven,8229672,Eighty Two Lakh Twenty Nine Thousand Six Hundred Seventy Two
12,12,044-21-000009,18-Jun-2021,21-Oct-2021,Providing CC Road to Gowthamanagara Sium   in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,SHIVU CONSTRUCTIONS,9620699722,,First and Final,000097,19-Jun-2021,000089,29-Oct-2021,000143,09-Nov-2021,,           ,Under Process in AdCf - Acts. Supdt.,2338770,Twenty Three Lakh Thirty Eight Thousand Seven Hundred Seventy ,216741,Two Lakh Sixteen Thousand Seven Hundred Fourty One,2122029,Twenty One Lakh Twenty Two Thousand Twenty Nine
13,13,044-20-000024,13-Dec-2021,21-Mar-2022,Construction of School Building at Marappanapalya  ward no 44,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3673 Construction of School building at Marappanapalya,SKBASAVARAJU,9448372828,,Second and Final,000089,09-Jun-2021,000159,22-Mar-2022,000268,24-Mar-2022,,           ,Under Process in AdCf - Acts. Supdt.,22618179,Two Crore Twenty Six Lakh Eighteen Thousand One Hundred Seventy Nine,2039675,Twenty  Lakh Thirty Nine Thousand Six Hundred Seventy Five,20578504,Two Crore Five Lakh Seventy Eight Thousand Five Hundred Four
14,14,044-20-000024,13-Dec-2021,29-Oct-2021,Construction of School Building at Marappanapalya  ward no 44,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3673 Construction of School building at Marappanapalya,SKBASAVARAJU,9448372828,,Running,000089,09-Jun-2021,000149,05-Mar-2022,000247,07-Mar-2022,,           ,Under Process in AdCf - Acts. Supdt.,28984359,Two Crore Eighty Nine Lakh Eighty Four Thousand Three Hundred Fifty Nine,2407992,Twenty Four Lakh Seven Thousand Nine Hundred Ninety Two,26576367,Two Crore Sixty Five Lakh Seventy Six Thousand Three Hundred Sixty Seven
15,15,044-20-000123,29-Apr-2021,18-Sep-2021,Improvements of Dhyanamandira at Vivekananda collage in Srikanteshwaranagara in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P2415 Reserve fund for TandF Committee,PUTTASWAMY B R      ,9945299158,,Running,000013,29-Apr-2021,000126,12-Jan-2022,000204,17-Jan-2022,,           ,Under Process in AdCf - Acts. Supdt.,2273110,Twenty Two Lakh Seventy Three Thousand One Hundred Ten,190831,One Lakh Ninety  Thousand Eight Hundred Thirty One,2082279,Twenty  Lakh Eighty Two Thousand Two Hundred Seventy Nine
16,16,044-20-000020,05-Oct-2021,10-Jan-2022,Providing CC to KHB  in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,"P3593 Special Development works at ward Nos.18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176, 18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176",AVINASH BYANNA CONTR,9632548246,,First and Final,000009,23-Apr-2021,000131,19-Jan-2022,000217,04-Feb-2022,,           ,Under Process in AdCf - Acts. Supdt.,5113370,Fifty One Lakh Thirteen Thousand Three Hundred Seventy ,533602,Five Lakh Thirty Three Thousand Six Hundred Two,4579768,Fourty Five Lakh Seventy Nine Thousand Seven Hundred Sixty Eight
17,17,044-20-000023,23-Apr-2021,26-Nov-2021,Improvements to drains at Someshwaranagara  ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,"P3593 Special Development works at ward Nos.18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176, 18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176",VIJAYAKUMAR R,8105116644,vijayakumar.saanika@gmail.com,First and Final,000010,23-Apr-2021,000107,10-Dec-2021,000179,21-Dec-2021,,           ,Under Process in AdCf - Acts. Supdt.,5929000,Fifty Nine Lakh Twenty Nine Thousand ,600538,Six Lakh Five Hundred Thirty Eight,5328462,Fifty Three Lakh Twenty Eight Thousand Four Hundred Sixty Two
18,18,044-21-000006,07-Oct-2021,08-Nov-2021,Footpath Maintenance in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,G.K.Maruthikumar,0000000000,,First and Final,000008,22-Apr-2021,000097,15-Nov-2021,000167,19-Nov-2021,,           ,Under Process in EE (Acts. Supdt.),1139736,Eleven Lakh Thirty Nine Thousand Seven Hundred Thirty Six,101202,One Lakh One Thousand Two Hundred Two,1038534,Ten Lakh Thirty Eight Thousand Five Hundred Thirty Four
19,19,044-20-000017,13-Dec-2021,12-Jan-2022,Construction of STP (Balance work) in ward no 44,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,"P3599 Special Development works at ward Nos.44, 43, 68, 74",SKBASAVARAJU,9448372828,,Running,000263,12-Mar-2021,000130,19-Jan-2022,000208,25-Jan-2022,,           ,Under Process in AdCf - Acts. Supdt.,8195740,Eighty One Lakh Ninety Five Thousand Seven Hundred Fourty ,692903,Six Lakh Ninety Two Thousand Nine Hundred Three,7502837,Seventy Five Lakh Two Thousand Eight Hundred Thirty Seven
20,20,044-20-000131,05-Mar-2021,30-Sep-2021,Providing Asphalting to  near Food Gowdon and Surrounding Area in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,VENI ASPHALT,9008435119,,First and Final,000254,09-Mar-2021,000038,28-Jun-2022,,           ,,           ,Under Process in Executive Engineer,2713457,Twenty Seven Lakh Thirteen Thousand Four Hundred Fifty Seven,0,,0,
21,21,044-20-000132,05-Mar-2021,30-Sep-2021,Providing Asphalting to   Dollares Scheme and Surrounding Area Nandini Layout  in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,VENI ASPHALT,9008435119,,First and Final,000253,09-Mar-2021,000039,28-Jun-2022,,           ,,           ,Under Process in Executive Engineer,4525183,Fourty Five Lakh Twenty Five Thousand One Hundred Eighty Three,0,,0,
22,22,044-20-000029,05-Mar-2021,23-Feb-2022,Improvements of Dhyanamandira near Shanimahathma temple 7th cross Shankaranagara in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P2415 Reserve fund for TandF Committee,VENKATA REDDY N     ,9845641836,,First and Final,000247,05-Mar-2021,000160,25-Mar-2022,000272,29-Mar-2022,,           ,Under Process in AdCf - Acts. Supdt.,5524739,Fifty Five Lakh Twenty Four Thousand Seven Hundred Thirty Nine,461279,Four Lakh Sixty One Thousand Two Hundred Seventy Nine,5063460,Fifty  Lakh Sixty Three Thousand Four Hundred Sixty 
23,23,044-20-000025,04-Dec-2021,03-Feb-2022,"Construction of Prarthana Mandira, Providing Vishveshwaraiah statue near Toyota show room and other beautification works and RCC Drain at Kirloskar foundry and Shankaranagara in ward no 44 Marappanapalya",044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,"P3593 Special Development works at ward Nos.18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176, 18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176",VENKATA REDDY N     ,9845641836,,Second and Final,000246,05-Mar-2021,000138,08-Feb-2022,000229,10-Feb-2022,,           ,Under Process in AdCf - Acts. Supdt.,1936850,Nineteen Lakh Thirty Six Thousand Eight Hundred Fifty ,176505,One Lakh Seventy Six Thousand Five Hundred Five,1760345,Seventeen Lakh Sixty  Thousand Three Hundred Fourty Five
24,24,044-20-000025,05-Mar-2021,29-Oct-2021,"Construction of Prarthana Mandira, Providing Vishveshwaraiah statue near Toyota show room and other beautification works and RCC Drain at Kirloskar foundry and Shankaranagara in ward no 44 Marappanapalya",044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,"P3593 Special Development works at ward Nos.18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176, 18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176",VENKATA REDDY N     ,9845641836,,Running,000246,05-Mar-2021,000088,29-Oct-2021,000145,11-Nov-2021,,           ,Under Process in AdCf - Acts. Supdt.,7564497,Seventy Five Lakh Sixty Four Thousand Four Hundred Ninety Seven,545098,Five Lakh Fourty Five Thousand Ninety Eight,7019399,Seventy  Lakh Nineteen Thousand Three Hundred Ninety Nine
25,25,044-20-000016,01-Mar-2021,25-May-2021,Development of Parks at Marappanapalya in ward no 44,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,"P3593 Special Development works at ward Nos.18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176, 18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176",NATURE CARE,9845355689,,First and Final,000241,01-Mar-2021,000026,19-Jun-2021,000043,23-Jun-2021,,           ,Under Process in AdCf - Acts. Supdt.,7495677,Seventy Four Lakh Ninety Five Thousand Six Hundred Seventy Seven,659261,Six Lakh Fifty Nine Thousand Two Hundred Sixty One,6836416,Sixty Eight Lakh Thirty Six Thousand Four Hundred Sixteen
26,26,044-20-000018,01-Mar-2021,28-May-2021,Providing sculpture to Rajeevgandhinagara park  in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,"P3593 Special Development works at ward Nos.18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176, 18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176",NATURE CARE,9845355689,,First and Final,000243,01-Mar-2021,000027,19-Jun-2021,000042,23-Jun-2021,,           ,Under Process in AdCf - Acts. Supdt.,9991950,Ninety Nine Lakh Ninety One Thousand Nine Hundred Fifty ,903852,Nine Lakh Three Thousand Eight Hundred Fifty Two,9088098,Ninety  Lakh Eighty Eight Thousand Ninety Eight
27,27,044-20-000027,18-May-2021,10-Jun-2021,Providing and Construction of Time Tower near Krishnanandanagara  in ward no 44,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,"P3599 Special Development works at ward Nos.44, 43, 68, 74",NATURE CARE,9845355689,,First and Final,000239,01-Mar-2021,000028,19-Jun-2021,000044,23-Jun-2021,,           ,Under Process in AdCf - Acts. Supdt.,4897563,Fourty Eight Lakh Ninety Seven Thousand Five Hundred Sixty Three,454305,Four Lakh Fifty Four Thousand Three Hundred Five,4443258,Fourty Four Lakh Fourty Three Thousand Two Hundred Fifty Eight
28,28,044-20-000019,26-Feb-2021,20-May-2021,Providing CC to Ramdev Colony  in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,"P3593 Special Development works at ward Nos.18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176, 18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176",PUTTASWAMY B R      ,9945299158,,First and Final,000233,26-Feb-2021,000025,16-Jun-2021,000041,21-Jun-2021,,           ,Under Process in AdCf - Acts. Supdt.,5498241,Fifty Four Lakh Ninety Eight Thousand Two Hundred Fourty One,495880,Four Lakh Ninety Five Thousand Eight Hundred Eighty ,5002361,Fifty  Lakh Two Thousand Three Hundred Sixty One
29,29,044-20-000130,25-Feb-2021,30-Sep-2021, Providing Asphalting to Industrial Suburb in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,MARUTHI  KUMAR G  K ,9060849233,,First and Final,000236,26-Feb-2021,000037,28-Jun-2022,,           ,,           ,Under Process in Executive Engineer,3616866,Thirty Six Lakh Sixteen Thousand Eight Hundred Sixty Six,0,,0,
30,30,044-20-000011,25-Feb-2021,07-Apr-2022,Drilling of Borewells in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,"P3599 Special Development works at ward Nos.44, 43, 68, 74",PUTTASWAMY B R      ,9945299158,,First and Final,000231,25-Feb-2021,000008,21-Apr-2022,000020,26-Apr-2022,,           ,Under Process in AdCf - Acts. Supdt.,9870888,Ninety Eight Lakh Seventy  Thousand Eight Hundred Eighty Eight,905231,Nine Lakh Five Thousand Two Hundred Thirty One,8965657,Eighty Nine Lakh Sixty Five Thousand Six Hundred Fifty Seven
31,31,044-20-000028,25-Feb-2021,18-Sep-2021,Construction of Tailoring centre at Srikanteshwaranagara 3rd cross and Dyanamandira at Police quatrese  in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P2415 Reserve fund for TandF Committee,PUTTASWAMY B R      ,9945299158,,First and Final,000232,25-Feb-2021,000066,21-Sep-2021,000107,22-Sep-2021,,           ,Under Process in AdCf - Acts. Supdt.,9151308,Ninety One Lakh Fifty One Thousand Three Hundred Eight,919497,Nine Lakh Nineteen Thousand Four Hundred Ninety Seven,8231811,Eighty Two Lakh Thirty One Thousand Eight Hundred Eleven
32,32,044-21-000002,17-Jun-2021,30-Sep-2021,Improvements to roads and drains at Krishnanandanagara in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3075 Special comprehensive development works in Bangalore city (Bangalore city in charge Minister Discretionary Grants),SRI LAKSHMI VENKATES,9590281209,,Second and Final,000220,17-Feb-2021,000072,04-Oct-2021,000112,05-Oct-2021,,           ,Under Process in EE (Acts. Supdt.),1077,One Thousand Seventy Seven,0,,1077,One Thousand Seventy Seven
33,33,044-21-000002,17-Feb-2021,23-Jul-2021,Improvements to roads and drains at Krishnanandanagara in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3075 Special comprehensive development works in Bangalore city (Bangalore city in charge Minister Discretionary Grants),SRI LAKSHMI VENKATES,9590281209,,Running,000220,17-Feb-2021,000042,27-Jul-2021,000070,28-Jul-2021,,           ,Under Process in AdCf - Acts. Supdt.,9683589,Ninety Six Lakh Eighty Three Thousand Five Hundred Eighty Nine,966450,Nine Lakh Sixty Six Thousand Four Hundred Fifty ,8717139,Eighty Seven Lakh Seventeen Thousand One Hundred Thirty Nine
34,34,044-20-000021,04-Feb-2021,28-Apr-2021,Construction of RCC drain and Covering slab at 4th main Srikanteshwaranagara  in ward no 44 Marappanapalya,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,"P3593 Special Development works at ward Nos.18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176, 18, 22, 31, 32, 44, 67, 69, 70, 74, 102, 121, 135, 139, 176",SRI LAKSHMI VENKATES,9590281209,,First and Final,000204,04-Feb-2021,000024,15-Jun-2021,000040,16-Jun-2021,,           ,Under Process in AdCf - Acts. Supdt.,5374917,Fifty Three Lakh Seventy Four Thousand Nine Hundred Seventeen,573682,Five Lakh Seventy Three Thousand Six Hundred Eighty Two,4801235,Fourty Eight Lakh One Thousand Two Hundred Thirty Five
35,35,044-20-000003,01-Jun-2021,31-Jul-2021, Operation And maintenance Of Street Lights at  Marappanapalya in Ward No- 44,044 Marappana Palya,Executive Engineer Electrical West Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),ABHAYELECTRICALS,9740808047,Abhaylights.159@gmail.com,Running,000029,06-Jan-2021,000040,26-Aug-2021,000040,26-Aug-2021,,           ,000395 / 07-Mar-2022 in RTGS,307625,Three Lakh Seven Thousand Six Hundred Twenty Five,24261,Twenty Four Thousand Two Hundred Sixty One,283364,Two Lakh Eighty Three Thousand Three Hundred Sixty Four
36,36,044-20-000003,06-Jan-2021,31-May-2021, Operation And maintenance Of Street Lights at  Marappanapalya in Ward No- 44,044 Marappana Palya,Executive Engineer Electrical West Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),ABHAYELECTRICALS,9740808047,Abhaylights.159@gmail.com,Running,000029,06-Jan-2021,000018,19-Jul-2021,000018,19-Jul-2021,,           ,000246 / 13-Oct-2021 in RTGS,741678,Seven Lakh Fourty One Thousand Six Hundred Seventy Eight,58487,Fifty Eight Thousand Four Hundred Eighty Seven,683191,Six Lakh Eighty Three Thousand One Hundred Ninety One
37,37,044-20-000003,01-Aug-2021,31-Dec-2021, Operation And maintenance Of Street Lights at  Marappanapalya in Ward No- 44,044 Marappana Palya,Executive Engineer Electrical West Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),ABHAYELECTRICALS,9740808047,Abhaylights.159@gmail.com,Running,000029,06-Jan-2021,,           ,,           ,,           ,Under Process in Asst. Exec. Engineer,767563,Seven Lakh Sixty Seven Thousand Five Hundred Sixty Three,0,,0,
38,38,044-19-000090,05-Sep-2020,08-Jun-2022,Construction of first floor building over krishnandangara yoga centre in ward NO 44  ,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P1771 Zone Works - POW Works,MARUTHI  KUMAR G  K ,9060849233,,First and Final,000128,12-Oct-2020,000049,13-Jul-2022,,           ,,           ,Under Process in Executive Engineer,1986732,Nineteen Lakh Eighty Six Thousand Seven Hundred Thirty Two,0,,0,
39,39,044-19-000046,10-Sep-2020,04-May-2021,Contruction of Arch Gowthamanagara main road in ward no.44 Marappanapalya.,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P3403 Special Development works at Marappanapalya ward,MARUTHI  KUMAR G  K ,9060849233,,First and Final,000113,15-Sep-2020,000009,07-May-2021,000019,10-May-2021,,           ,Under Process in AdCf - Acts. Supdt.,1834120,Eighteen Lakh Thirty Four Thousand One Hundred Twenty ,175247,One Lakh Seventy Five Thousand Two Hundred Fourty Seven,1658873,Sixteen Lakh Fifty Eight Thousand Eight Hundred Seventy Three
40,40,044-20-000009,26-Dec-2019,18-Mar-2020,Repair and  improvement works to BBMP High  School Marappanapalya ward no 44,044 Marappana Palya,Executive Engineer Education Cell Central Zone,P3285 M and R of School and College buildings,Executive Engineer -4,9916493653,,First and Final,000035,01-Sep-2020,000016,05-Sep-2020,000016,07-Sep-2020,005990,30-Mar-2021,000322 / 30-Mar-2021 in RTGS,6495070,Sixty Four Lakh Ninety Five Thousand Seventy ,574100,Five Lakh Seventy Four Thousand One Hundred ,5920970,Fifty Nine Lakh Twenty  Thousand Nine Hundred Seventy 
41,41,044-20-000010,26-Dec-2019,18-Mar-2020,Repair and  improvement works to BBMP Primary school Marapppanapalya ward no 44,044 Marappana Palya,Executive Engineer Education Cell Central Zone,P3285 M and R of School and College buildings,Executive Engineer -4,9916493653,,First and Final,000030,01-Sep-2020,000012,05-Sep-2020,000013,07-Sep-2020,005988,30-Mar-2021,000322 / 30-Mar-2021 in RTGS,5995460,Fifty Nine Lakh Ninety Five Thousand Four Hundred Sixty ,526820,Five Lakh Twenty Six Thousand Eight Hundred Twenty ,5468640,Fifty Four Lakh Sixty Eight Thousand Six Hundred Fourty 
42,42,044-19-000075,26-Feb-2021,06-Mar-2021,Removal of building material and debris in ward no 44,044 Marappana Palya,Executive Engineer Mahalakshmipuram West Zone,P0603 Debris Clearance,SRI SRINIVAS  ENTERP,9916848633,,First and Final,000084,24-Jun-2020,000153,09-Mar-2021,000330,10-Mar-2021,,           ,000213 / 01-Jul-2022 in RTGS,795324,Seven Lakh Ninety Five Thousand Three Hundred Twenty Four,71721,Seventy One Thousand Seven Hundred Twenty One,723603,Seven Lakh Twenty Three Thousand Six Hundred Three
