,"Bruhat Bengaluru Mahanagara Palike
Works Bill Public View
",,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,072-21-000005,06-Apr-2021,15-Jul-2021,Improvements and development of Dwarakavasa road from B E L Layout to Muddinapalya circle in ward No:  72,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P2902 Strenthening and widening of Arterial and Sub-arterial roads in Road Infrastructure Division in all the 8 zones of BBMP (Est Cost: Rs 300 Cr),GANAPATHISTONECRUSHE,9845163761,,First and Final,000009,06-Apr-2021,000039,07-Aug-2021,000087,07-Aug-2021,,           ,000006 / 07-Apr-2022 in RTGS,19583463,One Crore Ninety Five Lakh Eighty Three Thousand Four Hundred Sixty Three,1935964,Nineteen Lakh Thirty Five Thousand Nine Hundred Sixty Four,17647499,One Crore Seventy Six Lakh Fourty Seven Thousand Four Hundred Ninety Nine
11,11,072-20-000076,05-Apr-2021,08-Mar-2022,"Supply of Water through Tractor and Tanker at Veerabhadreshwaranagara, Javaregowda Layout  and Surrounding Areas in Herohalli ward Limits in ward no 72 of Herohalli Sub Divisioin",072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,"P3738 Special development works in Ward No. 25,53, 55, 56, 81, 87, 40, 72, 198, 16, 37, 42, 69, 73, 62, 63, 91, 92, 110, 90 ( Total 20 wards 1.5 crors for each ward)",Mr  SHANKAR  H B,9448590044,,First and Final,000006,05-Apr-2021,000004,20-Apr-2022,000020,10-May-2022,,           ,Under Process in AdCf - Acts. Supdt.,7142580,Seventy One Lakh Fourty Two Thousand Five Hundred Eighty ,277540,Two Lakh Seventy Seven Thousand Five Hundred Fourty ,6865040,Sixty Eight Lakh Sixty Five Thousand Fourty 
12,12,072-20-000075,16-Mar-2021,21-Sep-2021,"Sinking of Borewells and other Allied works at Kempegowdanagara, Anjananagar and other Areas in Herohalli ward Limits in ward no 72 of Herohalli Sub Divisioin",072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,"P3738 Special development works in Ward No. 25,53, 55, 56, 81, 87, 40, 72, 198, 16, 37, 42, 69, 73, 62, 63, 91, 92, 110, 90 ( Total 20 wards 1.5 crors for each ward)",G M CONTRACTORS AND ,9611839373,,First and Final,000319,16-Mar-2021,000050,21-Oct-2021,000135,22-Oct-2021,,           ,Under Process in AdCf - Acts. Supdt.,7112485,Seventy One Lakh Twelve Thousand Four Hundred Eighty Five,631994,Six Lakh Thirty One Thousand Nine Hundred Ninety Four,6480491,Sixty Four Lakh Eighty  Thousand Four Hundred Ninety One
13,13,072-19-000055,24-Feb-2021,18-May-2022,Providing Consultancy services for Project Management including supervision and Quality Control for Comprehensive Development works in Ward No-72,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P3527 Comprehensive developmental works in shankarmat,CIVIL QUALITY CONSUL,9886998316,,First and Final,000303,24-Feb-2021,,           ,,           ,,           ,Under Process in Asst. Exec. Engineer,140000,One Lakh Fourty  Thousand ,0,,0,
14,14,072-20-000095,08-Feb-2021,03-Nov-2021,UGD Maintenance at Herohalli ward limits in ward no 72 of Herohalli sub division for the year 2019-20,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P1771 Zone Works - POW Works,SREE MANOJAVA ENTERP,8971497979,,Second and Final,000278,08-Feb-2021,000020,04-Jun-2022,000031,06-Jun-2022,,           ,Under Process in EE (Acts. Supdt.),1085271,Ten Lakh Eighty Five Thousand Two Hundred Seventy One,98535,Ninety Eight Thousand Five Hundred Thirty Five,986736,Nine Lakh Eighty Six Thousand Seven Hundred Thirty Six
15,15,072-20-000095,08-Feb-2021,08-Sep-2021,UGD Maintenance at Herohalli ward limits in ward no 72 of Herohalli sub division for the year 2019-20,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P1771 Zone Works - POW Works,SREE MANOJAVA ENTERP,8971497979,,Running,000278,08-Feb-2021,000049,22-Sep-2021,000116,22-Sep-2021,,           ,Under Process in AdCf - Acts. Supdt.,1680076,Sixteen Lakh Eighty  Thousand Seventy Six,154438,One Lakh Fifty Four Thousand Four Hundred Thirty Eight,1525638,Fifteen Lakh Twenty Five Thousand Six Hundred Thirty Eight
16,16,072-20-000053,01-Feb-2022,31-Mar-2022,"Operation and maintenance of street lighting system in ward no-72,  Package R15 of Rajarajeshwari Nagar Zone.",072 Herohalli,Executive Engineer (Electrical) Rajarajeshwari Nagar Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),VENKATESHWARAELECTRI,9845695444,,Final,000022,30-Jan-2021,000039,18-Jul-2022,000039,18-Jul-2022,,           ,Under Process in TVCC Exec. Engineer,532712,Five Lakh Thirty Two Thousand Seven Hundred Twelve,61988,Sixty One Thousand Nine Hundred Eighty Eight,470724,Four Lakh Seventy  Thousand Seven Hundred Twenty Four
17,17,072-20-000053,01-Dec-2021,31-Jan-2022,"Operation and maintenance of street lighting system in ward no-72,  Package R15 of Rajarajeshwari Nagar Zone.",072 Herohalli,Executive Engineer (Electrical) Rajarajeshwari Nagar Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),VENKATESHWARAELECTRI,9845695444,,Running,000022,30-Jan-2021,000080,15-Mar-2022,000080,15-Mar-2022,,           ,000255 / 16-Jul-2022 in RTGS,532712,Five Lakh Thirty Two Thousand Seven Hundred Twelve,35353,Thirty Five Thousand Three Hundred Fifty Three,497359,Four Lakh Ninety Seven Thousand Three Hundred Fifty Nine
18,18,072-20-000053,01-Sep-2021,30-Oct-2021,"Operation and maintenance of street lighting system in ward no-72,  Package R15 of Rajarajeshwari Nagar Zone.",072 Herohalli,Executive Engineer (Electrical) Rajarajeshwari Nagar Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),VENKATESHWARAELECTRI,9845695444,,Running,000022,30-Jan-2021,000055,22-Dec-2021,000055,22-Dec-2021,,           ,000387 / 02-Mar-2022 in RTGS,839319,Eight Lakh Thirty Nine Thousand Three Hundred Nineteen,55399,Fifty Five Thousand Three Hundred Ninety Nine,783920,Seven Lakh Eighty Three Thousand Nine Hundred Twenty 
19,19,072-20-000053,01-Jan-2021,31-Jan-2022,"Operation and maintenance of street lighting system in ward no-72,  Package R15 of Rajarajeshwari Nagar Zone.",072 Herohalli,Executive Engineer (Electrical) Rajarajeshwari Nagar Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),VENKATESHWARAELECTRI,9845695444,,Running,000022,30-Jan-2021,000027,08-Sep-2021,000027,08-Sep-2021,,           ,000246 / 13-Oct-2021 in RTGS,1065425,Ten Lakh Sixty Five Thousand Four Hundred Twenty Five,70708,Seventy  Thousand Seven Hundred Eight,994717,Nine Lakh Ninety Four Thousand Seven Hundred Seventeen
20,20,072-20-000053,31-Jan-2021,31-Jan-2022,"Operation and maintenance of street lighting system in ward no-72,  Package R15 of Rajarajeshwari Nagar Zone.",072 Herohalli,Executive Engineer (Electrical) Rajarajeshwari Nagar Zone,P0300 M and R to Street Lights - Replacement of Burnt Bulbs etc. (Package),VENKATESHWARAELECTRI,9845695444,,Running,000022,30-Jan-2021,000014,17-Aug-2021,000014,17-Aug-2021,,           ,000246 / 13-Oct-2021 in RTGS,799069,Seven Lakh Ninety Nine Thousand Sixty Nine,53032,Fifty Three Thousand Thirty Two,746037,Seven Lakh Fourty Six Thousand Thirty Seven
21,21,072-20-000097,05-Jan-2021,07-Jun-2021,Silt and Removal of Debries at  Southern side Herohalli ward limits in ward no 72 Herohalli of Herohalli Sub Division for the year 2019-20,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P1771 Zone Works - POW Works,G GOVIND,9845535433,,First and Final,000248,05-Jan-2021,000031,28-Jul-2021,000076,30-Jul-2021,,           ,Under Process in AdCf - Acts. Supdt.,1210587,Twelve Lakh Ten Thousand Five Hundred Eighty Seven,107570,One Lakh Seven Thousand Five Hundred Seventy ,1103017,Eleven Lakh Three Thousand Seventeen
22,22,072-20-000099,05-Jan-2021,07-Jun-2021,Improvements of Herohalli Sub division office Building and Surrounding area in ward no 72 Herohalli of Herohalli Sub Division,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P1771 Zone Works - POW Works,VANI GOVIND,9845535433,,First and Final,000247,05-Jan-2021,000030,28-Jul-2021,000075,30-Jul-2021,,           ,Under Process in AdCf - Acts. Supdt.,1219900,Twelve Lakh Nineteen Thousand Nine Hundred ,108397,One Lakh Eight Thousand Three Hundred Ninety Seven,1111503,Eleven Lakh Eleven Thousand Five Hundred Three
23,23,072-20-000080,31-Dec-2020,28-Jun-2021,Improvements to Roads and Drains in Vigneshwaranagara  and Surrounding area in ward no  72 Herohalli Sub Division,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,"P3600 Special Development works at ward Nos.172, 98, 63, 95, 77, 75, 84, 171, 76, 152, 68, 72, 145, 140, 99, 38, 50",GANAPATHISTONECRUSHE,9845163761,,Running,000246,31-Dec-2020,000043,17-Aug-2021,000095,19-Aug-2021,,           ,Under Process in AdCf - Acts. Supdt.,75747954,Seven Crore Fifty Seven Lakh Fourty Seven Thousand Nine Hundred Fifty Four,7488227,Seventy Four Lakh Eighty Eight Thousand Two Hundred Twenty Seven,68259727,Six Crore Eighty Two Lakh Fifty Nine Thousand Seven Hundred Twenty Seven
24,24,072-20-000079,31-Dec-2020,28-Apr-2021,Improvements to Roads and Drains in Muddinapalya and Surrounding area in ward no  72 Herohalli Sub Division,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,"P3600 Special Development works at ward Nos.172, 98, 63, 95, 77, 75, 84, 171, 76, 152, 68, 72, 145, 140, 99, 38, 50",GANAPATHISTONECRUSHE,9845163761,,Running,000245,31-Dec-2020,000024,16-Jul-2021,000061,16-Jul-2021,,           ,Under Process in AdCf - Acts. Supdt.,22285980,Two Crore Twenty Two Lakh Eighty Five Thousand Nine Hundred Eighty ,2203129,Twenty Two Lakh Three Thousand One Hundred Twenty Nine,20082851,Two Crore Eighty Two Thousand Eight Hundred Fifty One
25,25,072-20-000079,31-Dec-2020,27-Feb-2021,Improvements to Roads and Drains in Muddinapalya and Surrounding area in ward no  72 Herohalli Sub Division,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,"P3600 Special Development works at ward Nos.172, 98, 63, 95, 77, 75, 84, 171, 76, 152, 68, 72, 145, 140, 99, 38, 50",GANAPATHISTONECRUSHE,9845163761,,Running,000245,31-Dec-2020,000152,25-Mar-2021,000008,23-Apr-2021,,           ,Under Process in AdCf - Acts. Supdt.,63246151,Six Crore Thirty Two Lakh Fourty Six Thousand One Hundred Fifty One,6252331,Sixty Two Lakh Fifty Two Thousand Three Hundred Thirty One,56993820,Five Crore Sixty Nine Lakh Ninety Three Thousand Eight Hundred Twenty 
26,26,072-19-000055,17-Dec-2020,28-Jan-2021,Comprehensive development works in ward no 72,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P3527 Comprehensive developmental works in shankarmat,PANDURANGA E,9880304277,,First and Final,000232,17-Dec-2020,000127,02-Feb-2021,000325,04-Feb-2021,,           ,Under Process in AdCf - Acts. Supdt.,13935429,One Crore Thirty Nine Lakh Thirty Five Thousand Four Hundred Twenty Nine,1551060,Fifteen Lakh Fifty One Thousand Sixty ,12384369,One Crore Twenty Three Lakh Eighty Four Thousand Three Hundred Sixty Nine
27,27,072-20-000096,14-Dec-2020,19-Jul-2021,Silt and Removal of Debries at Northern side Herohalli ward limits in ward no 72 Herohalli of Herohalli Sub Division for the year 2019-20,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P1771 Zone Works - POW Works,GNANENDRA MURTHY M D,9986020978,,First and Final,000227,14-Dec-2020,000032,28-Jul-2021,000079,31-Jul-2021,,           ,Under Process in AdCf - Acts. Supdt.,1274899,Twelve Lakh Seventy Four Thousand Eight Hundred Ninety Nine,113284,One Lakh Thirteen Thousand Two Hundred Eighty Four,1161615,Eleven Lakh Sixty One Thousand Six Hundred Fifteen
28,28,072-20-000098,14-Dec-2020,12-Mar-2021,Construction and  Maintenance of Culverts and Footpaths at Herohalli ward limits in ward no 72 of  Herohalli  Sub Division for the year 2019-20,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P1771 Zone Works - POW Works,GNANENDRA MURTHY M D,9986020978,,First and Final,000228,14-Dec-2020,000010,27-Apr-2021,000020,27-Apr-2021,,           ,Under Process in AdCf - Acts. Supdt.,1330232,Thirteen Lakh Thirty  Thousand Two Hundred Thirty Two,118200,One Lakh Eighteen Thousand Two Hundred ,1212032,Twelve Lakh Twelve Thousand Thirty Two
29,29,072-20-000094,07-Dec-2020,04-Jun-2021,Providing DI Pipe line maintenance of Ward limits in ward no 72 of Herohalli Sub Division for the year 2019-20,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P1771 Zone Works - POW Works,Mr  PUTTARAMAIAH  H,9448605855,,First and Final,000217,07-Dec-2020,000018,16-Jun-2021,000050,18-Jun-2021,,           ,Under Process in AdCf - Acts. Supdt.,835614,Eight Lakh Thirty Five Thousand Six Hundred Fourteen,74250,Seventy Four Thousand Two Hundred Fifty ,761364,Seven Lakh Sixty One Thousand Three Hundred Sixty Four
30,30,072-20-000100,07-Dec-2020,19-Jan-2021,Pot hole filling at Northern Side of Herohalli ward limits in ward no 72 of Herohalli Sub Division for the year 2019-20,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,Sri.Panduranga Mallappa,9739755227,,First and Final,000218,07-Dec-2020,000123,29-Jan-2021,000317,29-Jan-2021,,           ,000075 / 14-Jun-2021 in RTGS,799232,Seven Lakh Ninety Nine Thousand Two Hundred Thirty Two,71017,Seventy One Thousand Seventeen,728215,Seven Lakh Twenty Eight Thousand Two Hundred Fifteen
31,31,072-20-000101,21-Nov-2020,28-May-2021,Water Supply Maintenance at Northern Side of Herohalli ward limits in ward no 72 of Herohalli Sub Division for the year 2019-20,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,SUSHMA ENGINEERING W,9035007498,,Third and Final,000181,21-Nov-2020,000017,16-Jun-2021,000048,17-Jun-2021,,           ,000096 / 12-May-2022 in RTGS,1296275,Twelve Lakh Ninety Six Thousand Two Hundred Seventy Five,50370,Fifty  Thousand Three Hundred Seventy ,1245905,Twelve Lakh Fourty Five Thousand Nine Hundred Five
32,32,072-20-000102,21-Nov-2020,28-May-2021,Water supply Maintenance at Southern side of Herohalli ward limits in ward no 72 of Herohalli Sub Division for the year 2019-20,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,SUSHMA ENGINEERING W,9035007498,,Third and Final,000180,21-Nov-2020,000016,16-Jun-2021,000049,17-Jun-2021,,           ,000096 / 12-May-2022 in RTGS,1604504,Sixteen Lakh Four Thousand Five Hundred Four,62347,Sixty Two Thousand Three Hundred Fourty Seven,1542157,Fifteen Lakh Fourty Two Thousand One Hundred Fifty Seven
33,33,072-20-000101,21-Nov-2020,08-Apr-2021,Water Supply Maintenance at Northern Side of Herohalli ward limits in ward no 72 of Herohalli Sub Division for the year 2019-20,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,SUSHMA ENGINEERING W,9035007498,,Running,000181,21-Nov-2020,000008,23-Apr-2021,000011,23-Apr-2021,,           ,000096 / 12-May-2022 in RTGS,4449000,Fourty Four Lakh Fourty Nine Thousand ,172875,One Lakh Seventy Two Thousand Eight Hundred Seventy Five,4276125,Fourty Two Lakh Seventy Six Thousand One Hundred Twenty Five
34,34,072-20-000102,21-Nov-2020,08-Apr-2021,Water supply Maintenance at Southern side of Herohalli ward limits in ward no 72 of Herohalli Sub Division for the year 2019-20,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,SUSHMA ENGINEERING W,9035007498,,Running,000180,21-Nov-2020,000009,23-Apr-2021,000010,23-Apr-2021,,           ,000096 / 12-May-2022 in RTGS,4135000,Fourty One Lakh Thirty Five Thousand ,160675,One Lakh Sixty  Thousand Six Hundred Seventy Five,3974325,Thirty Nine Lakh Seventy Four Thousand Three Hundred Twenty Five
35,35,072-20-000101,21-Nov-2020,30-Dec-2020,Water Supply Maintenance at Northern Side of Herohalli ward limits in ward no 72 of Herohalli Sub Division for the year 2019-20,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,SUSHMA ENGINEERING W,9035007498,,Running,000181,21-Nov-2020,000115,31-Dec-2020,000279,31-Dec-2020,,           ,000075 / 14-Jun-2021 in RTGS,2766172,Twenty Seven Lakh Sixty Six Thousand One Hundred Seventy Two,107486,One Lakh Seven Thousand Four Hundred Eighty Six,2658686,Twenty Six Lakh Fifty Eight Thousand Six Hundred Eighty Six
36,36,072-20-000102,21-Nov-2020,30-Dec-2020,Water supply Maintenance at Southern side of Herohalli ward limits in ward no 72 of Herohalli Sub Division for the year 2019-20,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P3726 Zonal Public Works - POW Works -60per for  Annual Maintenance and Re-asphalting of roads in Ward jurisdiction -Escrow Account - Old Ward Rs.1.20 Cr per ward and Rs.1.80 Cr for new wards,SUSHMA ENGINEERING W,9035007498,,Running,000180,21-Nov-2020,000114,31-Dec-2020,000282,31-Dec-2020,,           ,000075 / 14-Jun-2021 in RTGS,2769868,Twenty Seven Lakh Sixty Nine Thousand Eight Hundred Sixty Eight,107530,One Lakh Seven Thousand Five Hundred Thirty ,2662338,Twenty Six Lakh Sixty Two Thousand Three Hundred Thirty Eight
37,37,072-21-000003,17-Nov-2020,08-Oct-2021,Consultancy Services for Preparation of DPR including Estimation for Impts & Dev of Dwarakavasa Road from Magadi Main Road to BEL Layout & BEL Layout to MUddinapalya Circle & Impts to Muddinapalya Main Road from Circle to Vidyanikethan School Road in Ward-72,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P2902 Strenthening and widening of Arterial and Sub-arterial roads in Road Infrastructure Division in all the 8 zones of BBMP (Est Cost: Rs 300 Cr),CIVIL QUALITY CONSUL,9886998316,,First and Final,000164,17-Nov-2020,000063,22-Dec-2021,000234,08-Feb-2022,,           ,Under Process in EE (Acts. Supdt.),488000,Four Lakh Eighty Eight Thousand ,0,,488000,Four Lakh Eighty Eight Thousand 
38,38,072-20-000054,30-Jul-2020,11-Jun-2021,"Providing Project Management and Consultancy Services for the works of under the welfare works (Bhagyajyothi, Sooru/Neeru Yojane and General) in Ward No-72 of Herohalli Sub Division Kengeri Division",072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,"P1878 18per - Works (Bhagyajyothi, Sooru / Neeru Yojane and General) (54 Lakhs / New Wards)",MECADEZ CORE TECHNOL,9538136111,,First and Final,000105,30-Jul-2020,000059,17-Nov-2021,000175,06-Dec-2021,,           ,Under Process in AdCf - Acts. Supdt.,397000,Three Lakh Ninety Seven Thousand ,39700,Thirty Nine Thousand Seven Hundred ,357300,Three Lakh Fifty Seven Thousand Three Hundred 
39,39,072-20-000015,24-Jul-2020,23-Feb-2021,Pot hole filling Stage-1 Herohalli  Ward Limits In Ward No 72 of Herohalli  Sub Division,072 Herohalli,Executive Engineer Kengeri Division Rajarajeshwari Nagar Zone,P1771 Zone Works - POW Works,SREE MANOJAVA ENTERP,8971497979,,First and Final,000098,24-Jul-2020,000007,22-Apr-2021,000018,23-Apr-2021,,           ,Under Process in AdCf - Acts. Supdt.,759182,Seven Lakh Fifty Nine Thousand One Hundred Eighty Two,75458,Seventy Five Thousand Four Hundred Fifty Eight,683724,Six Lakh Eighty Three Thousand Seven Hundred Twenty Four
